index,data
0,150.000000
1,150.569611
2,151.139206
3,151.708755
4,152.278259
5,152.847687
6,153.417023
7,153.986252
8,154.555344
9,155.124283
10,155.693069
11,156.261658
12,156.830048
13,157.398224
14,157.966156
15,158.533829
16,159.101227
17,159.668320
18,160.235107
19,160.801559
20,161.367661
21,161.933395
22,162.498749
23,163.063690
24,163.628204
25,164.192276
26,164.755890
27,165.319031
28,165.881668
29,166.443802
30,167.005386
31,167.566422
32,168.126892
33,168.686783
34,169.246048
35,169.804703
36,170.362717
37,170.920059
38,171.476730
39,172.032700
40,172.587952
41,173.142471
42,173.696243
43,174.249252
44,174.801468
45,175.352875
46,175.903473
47,176.453217
48,177.002106
49,177.550125
50,178.097244
51,178.643463
52,179.188736
53,179.733063
54,180.276443
55,180.818817
56,181.360214
57,181.900574
58,182.439911
59,182.978195
60,183.515396
61,184.051529
62,184.586548
63,185.120438
64,185.653198
65,186.184799
66,186.715225
67,187.244461
68,187.772491
69,188.299286
70,188.824844
71,189.349136
72,189.872162
73,190.393890
74,190.914307
75,191.433395
76,191.951141
77,192.467529
78,192.982529
79,193.496140
80,194.008347
81,194.519119
82,195.028442
83,195.536316
84,196.042709
85,196.547592
86,197.050980
87,197.552841
88,198.053162
89,198.551910
90,199.049103
91,199.544693
92,200.038666
93,200.531021
94,201.021744
95,201.510818
96,201.998199
97,202.483917
98,202.967911
99,203.450195
100,203.930740
101,204.409546
102,204.886581
103,205.361832
104,205.835297
105,206.306946
106,206.776764
107,207.244736
108,207.710846
109,208.175095
110,208.637466
111,209.097916
112,209.556458
113,210.013062
114,210.467728
115,210.920425
116,211.371140
117,211.819870
118,212.266602
119,212.711304
120,213.153961
121,213.594589
122,214.033142
123,214.469620
124,214.904007
125,215.336288
126,215.766449
127,216.194489
128,216.620361
129,217.044083
130,217.465622
131,217.884979
132,218.302124
133,218.717056
134,219.129776
135,219.540237
136,219.948441
137,220.354370
138,220.758026
139,221.159393
140,221.558441
141,221.955170
142,222.349564
143,222.741608
144,223.131287
145,223.518600
146,223.903534
147,224.286057
148,224.666183
149,225.043869
150,225.419128
151,225.791946
152,226.162308
153,226.530182
154,226.895584
155,227.258499
156,227.618896
157,227.976776
158,228.332123
159,228.684937
160,229.035187
161,229.382889
162,229.727997
163,230.070526
164,230.410461
165,230.747787
166,231.082489
167,231.414566
168,231.743988
169,232.070770
170,232.394882
171,232.716324
172,233.035080
173,233.351151
174,233.664505
175,233.975143
176,234.283066
177,234.588257
178,234.890701
179,235.190384
180,235.487305
181,235.781448
182,236.072815
183,236.361389
184,236.647171
185,236.930130
186,237.210266
187,237.487564
188,237.762039
189,238.033661
190,238.302429
191,238.568329
192,238.831360
193,239.091507
194,239.348755
195,239.603119
196,239.854568
197,240.103104
198,240.348709
199,240.591385
200,240.831131
201,241.067917
202,241.301758
203,241.532639
204,241.760529
205,241.985458
206,242.207413
207,242.426361
208,242.642303
209,242.855255
210,243.065186
211,243.272110
212,243.475998
213,243.676849
214,243.874664
215,244.069427
216,244.261154
217,244.449814
218,244.635406
219,244.817932
220,244.997375
221,245.173737
222,245.347015
223,245.517212
224,245.684296
225,245.848267
226,246.009140
227,246.166901
228,246.321533
229,246.473038
230,246.621414
231,246.766663
232,246.908768
233,247.047729
234,247.183533
235,247.316193
236,247.445694
237,247.572037
238,247.695206
239,247.815216
240,247.932037
241,248.045700
242,248.156174
243,248.263458
